Sku,shipping_operation,ACT,NSW,NT,QLD,SA,TAS,VIC,WA
SC1022-CF,Free,0,0,0,0,0,0,0,0
BC1006-2-TP,Free,0,0,0,0,0,0,0,0
BC1007-2-TP,Free,0,0,0,0,0,0,0,0
BC1008-2-TP,Free,0,0,0,0,0,0,0,0
BC1009-2-TP,Free,0,0,0,0,0,0,0,0
ED0913-2-DGN,Free,0,0,0,0,0,0,0,0
HO0576-3-BK,Free,0,0,0,0,0,0,0,0
HO0576-3-TF,Free,0,0,0,0,0,0,0,0
HO0576-3-WH,Free,0,0,0,0,0,0,0,0
SC1003-GI,Free,0,0,0,0,0,0,0,0
SC1004-GI,Free,0,0,0,0,0,0,0,0
CH1033-GY,Free,0,0,0,0,0,0,0,0
PLS-RAYDUS-BL,Free,0,0,0,0,0,0,0,0
PLS-RAYDUS-OR,Free,0,0,0,0,0,0,0,0
PLS-RAYDUS-GR,Free,0,0,0,0,0,0,0,0
BR1032-2-GY,Free,0,0,0,0,0,0,0,0
BR1033-2-GN,Free,0,0,0,0,0,0,0,0
BR1033-2-GY,Free,0,0,0,0,0,0,0,0
CH1029-2-GY,Free,0,0,0,0,0,0,0,0
CH1030-WH,Free,0,0,0,0,0,0,0,0
CH1031-2-GY,Free,0,0,0,0,0,0,0,0
DH1019-3-BL,Free,0,0,0,0,0,0,0,0
DH1021-DG,Free,0,0,0,0,0,0,0,0
DH1026-WH,Free,0,0,0,0,0,0,0,0
OD1006-1x1.2,Free,0,0,0,0,0,0,0,0
OD1006-1x1.5,Free,0,0,0,0,0,0,0,0
OD1006-1x2.4,Free,0,0,0,0,0,0,0,0
OD1006-1x4,Free,0,0,0,0,0,0,0,0
OD1007-BK,Free,0,0,0,0,0,0,0,0
OD1007-BR,Free,0,0,0,0,0,0,0,0
OD1012-BL,Free,0,0,0,0,0,0,0,0
OD1012-BLX2,Free,0,0,0,0,0,0,0,0
UM1195-3-WH,Free,0,0,0,0,0,0,0,0
UM1195-4-WH,Free,0,0,0,0,0,0,0,0
UM1195-5-WH,Free,0,0,0,0,0,0,0,0
BEAN1001-TA,Free,0,0,0,0,0,0,0,0
BEAN1002-GY,Free,0,0,0,0,0,0,0,0
COMDESK1003-BK,Free,0,0,0,0,0,0,0,0
COMDESK1004-BK,Free,0,0,0,0,0,0,0,0
DH1025-BK,Free,0,0,0,0,0,0,0,0
DH1025-WH,Free,0,0,0,0,0,0,0,0
TIJ-CB1001-15L,Free,0,0,0,0,0,0,0,0
BEAN1003-CR,Free,0,0,0,0,0,0,0,0
BEAN1003-GY,Free,0,0,0,0,0,0,0,0
BF1025-Q-CH,Free,0,0,0,0,0,0,0,0
BF1027-Q-PK,Free,0,0,0,0,0,0,0,0
BF1028-D-CH,Free,0,0,0,0,0,0,0,0
DH1028-WH,Free,0,0,0,0,0,0,0,0
DH1028-WHCO,Free,0,0,0,0,0,0,0,0
DH1028-WHMT,Free,0,0,0,0,0,0,0,0
DH1028-WHWA,Free,0,0,0,0,0,0,0,0
DH1029-WH,Free,0,0,0,0,0,0,0,0
DH1029-WHCO,Free,0,0,0,0,0,0,0,0
DH1029-WHMT,Free,0,0,0,0,0,0,0,0
DH1029-WHWA,Free,0,0,0,0,0,0,0,0
DH1030-4-CO,Free,0,0,0,0,0,0,0,0
DH1030-4-MT,Free,0,0,0,0,0,0,0,0
DH1030-4-WA,Free,0,0,0,0,0,0,0,0
